,loss,mse,mae,mape,rmse
408,0.012347194366157055,0.0001546495477668941,0.005459840875118971,1580500.375,0.012435817159712315
409,0.012309243902564049,0.00014882575487717986,0.005268114618957043,1555285.875,0.01219941582530737
410,0.012275050394237041,0.00015262229135259986,0.005413761828094721,1567397.5,0.012354039587080479
411,0.012238781899213791,0.00015468338096980006,0.005460061132907867,1544744.5,0.012437177821993828
412,0.012198198586702347,0.00014875705528538674,0.005330956075340509,1587759.5,0.012196600437164307
413,0.012165791355073452,0.00015867006732150912,0.0056531489826738834,1662709.75,0.01259643118828535
414,0.012120782397687435,0.00014154770178720355,0.005081230774521828,1489470.5,0.011897382326424122
415,0.012102113105356693,0.00017759531328920275,0.005981548223644495,1677054.0,0.013326489366590977
416,0.01204968523234129,0.00014107329479884356,0.004913676995784044,1491712.25,0.01187742780894041
417,0.012016511522233486,0.0001467019901610911,0.005276530981063843,1558340.375,0.012112059630453587
418,0.011982480995357037,0.00015226479445118457,0.0054738810285925865,1584135.5,0.012339562177658081
419,0.011944061145186424,0.00014787554391659796,0.005250039976090193,1508322.125,0.01216040924191475
420,0.011907042935490608,0.00014704023487865925,0.00524368928745389,1526757.375,0.012126014567911625
421,0.011869160458445549,0.00014507188461720943,0.0051637995056807995,1483470.125,0.012044578790664673
422,0.01183498278260231,0.000151964501128532,0.005433710291981697,1572887.625,0.012327387928962708
423,0.011797090992331505,0.00014898486551828682,0.005326547659933567,1545201.0,0.012205936014652252
424,0.011762237176299095,0.0001505864638602361,0.005396686494350433,1524603.375,0.012271367944777012
425,0.011723455972969532,0.00014493383059743792,0.005139425862580538,1495201.25,0.012038846500217915
426,0.011688992381095886,0.0001484801759943366,0.005418902728706598,1558713.0,0.012185243889689445
427,0.01164972223341465,0.00014246045611798763,0.005118057131767273,1498206.5,0.01193568017333746
428,0.01162075437605381,0.00015696832269895822,0.005743852350860834,1610690.0,0.012528699822723866
429,0.01158229447901249,0.00014745219959877431,0.005285855382680893,1536779.125,0.012142989784479141
